,POA_CODE16,POA_NAME16,AREASQKM16,hail_size
1707,4701,4701,534.3442,2.5
1708,4702,4702,47039.8825,3.627272727272727
1709,4703,4703,1159.5247,3.25
1710,4704,4704,98.0086,0.0
1711,4705,4705,8543.109,4.066666666666667
1712,4706,4706,1440.7934,6.3
1713,4707,4707,2983.4314,4.0
1714,4709,4709,11.4711,0.0
1715,4710,4710,33.5185,0.0
1716,4711,4711,63.8306,0.0
1717,4712,4712,626.4256,4.3
1718,4713,4713,219.5151,0.0
1719,4714,4714,490.6655,0.0
1720,4715,4715,2772.4575,3.6
1721,4716,4716,1269.4857,3.2
1722,4717,4717,657.3194,11.15
1723,4718,4718,5866.149,1.5
1724,4719,4719,4044.5466,0.0
1725,4720,4720,1097.7854,3.733333333333333
1726,4721,4721,24091.8216,4.6000000000000005
1727,4722,4722,18208.3256,2.1333333333333333
1728,4723,4723,3992.4376,4.6000000000000005
1729,4724,4724,12394.1632,0.0
1730,4725,4725,10793.7555,0.0
1731,4726,4726,15087.2579,6.7
1732,4727,4727,6580.9177,0.0
1733,4728,4728,9441.8354,0.0
1734,4730,4730,41149.7509,0.5
1735,4731,4731,10508.8116,0.0
1736,4732,4732,3435.2164,0.0
1737,4733,4733,15789.5333,0.0
1738,4735,4735,57394.3694,0.0
1739,4736,4736,13084.6881,0.0
1740,4737,4737,940.5324,2.5
1741,4738,4738,1033.9906,0.0
1742,4739,4739,475.4337,0.0
1743,4740,4740,879.0014,7.0
1744,4741,4741,4176.032,5.95
1745,4742,4742,9701.2022,0.0
1746,4743,4743,735.0149,0.0
1747,4744,4744,3046.6387,3.0
1748,4745,4745,3620.2611,5.0
1749,4746,4746,2054.3653,0.0
1750,4750,4750,17.8539,0.0
1751,4751,4751,109.2039,1.7
1752,4753,4753,135.8944,0.0
1753,4754,4754,547.8642,3.8
1754,4756,4756,195.3173,0.0
1755,4757,4757,833.4849,0.0
1756,4798,4798,294.4336,0.0
1757,4799,4799,463.6011,0.0
1758,4800,4800,2436.5331,4.35
1759,4801,4801,3.5287,0.0
1760,4802,4802,276.4338,0.0
1761,4803,4803,7.0161,0.0
1762,4804,4804,14258.7347,0.0
1763,4805,4805,6858.7645,2.0
1764,4806,4806,1315.7679,0.0
1765,4807,4807,2424.9566,0.0
1766,4808,4808,203.2156,0.0
1767,4809,4809,1015.4554,0.0
1768,4810,4810,289.6701,0.0
1769,4811,4811,166.3359,0.0
1770,4812,4812,13.2728,0.0
1771,4814,4814,59.9761,0.0
1772,4815,4815,674.0534,0.0
1773,4816,4816,53685.8172,3.5799999999999996
1774,4817,4817,740.745,0.0
1775,4818,4818,537.4413,0.0
1776,4819,4819,51.1523,0.0
1777,4820,4820,41618.675,4.15
1778,4821,4821,26801.3443,0.0
1779,4822,4822,32122.5537,6.5
1780,4823,4823,66283.7365,2.5
1781,4824,4824,31688.0873,0.0
1782,4825,4825,99780.5911,2.0833333333333335
1783,4828,4828,9524.0413,4.3
1784,4829,4829,71910.0113,0.0
1785,4830,4830,31655.1233,0.0
1786,4849,4849,1094.687,0.0
1787,4850,4850,7383.9733,3.3333333333333335
1788,4852,4852,118.0451,0.0
1789,4854,4854,1722.9975,0.0
1790,4855,4855,103.5739,0.0
1791,4856,4856,117.0087,0.0
1792,4858,4858,75.1584,2.0
1793,4859,4859,19.2955,0.0
1794,4860,4860,1275.0376,0.0
1795,4861,4861,118.9753,0.0
1796,4865,4865,191.8984,0.0
1797,4868,4868,26.5384,0.0
1798,4869,4869,67.7783,0.0
1799,4870,4870,331.4008,0.0
1800,4871,4871,88314.6474,1.0
1801,4872,4872,12709.6818,3.9000000000000004
1802,4873,4873,1562.4059,0.0
1803,4874,4874,24319.9589,0.0
1804,4875,4875,851.262,0.0
1805,4876,4876,1339.9357,0.0
1806,4877,4877,164.874,0.0
1807,4878,4878,50.5256,0.0
1808,4879,4879,23.9907,0.0
1809,4880,4880,1321.145,2.95
1810,4881,4881,591.3183,1.7
1811,4882,4882,85.4145,0.0
1812,4883,4883,292.9866,2.65
1813,4884,4884,198.1812,0.0
1814,4885,4885,314.1453,0.0
1815,4886,4886,253.0866,2.4
1816,4887,4887,1198.6445,3.525
1817,4888,4888,559.1771,2.0
1818,4890,4890,15793.1979,0.0
1819,4891,4891,134.4548,0.0
1820,4892,4892,143377.1686,0.0
1821,4895,4895,9277.2547,0.0
1822,5000,5000,10.2519,0.0
1823,5005,5005,0.2305,0.0
1824,5006,5006,5.0909,0.0
1825,5007,5007,3.6055,0.0
1826,5008,5008,6.1854,0.0
1827,5009,5009,3.4541,0.0
1828,5010,5010,5.8508,0.0
1829,5011,5011,5.5261,0.0
1830,5012,5012,4.3751,0.0
1831,5013,5013,14.5776,0.0
1832,5014,5014,6.1186,0.0
1833,5015,5015,7.2668,0.0
1834,5016,5016,4.8979,0.0
1835,5017,5017,9.5023,0.0
1836,5018,5018,3.1252,0.0
1837,5019,5019,3.9321,0.0
1838,5020,5020,1.5622,0.0
1839,5021,5021,4.3836,0.0
1840,5022,5022,7.7915,9.0
1841,5023,5023,7.1329,0.0
1842,5024,5024,7.9124,0.0
1843,5025,5025,3.9453,0.0
1844,5031,5031,5.695,0.0
1845,5032,5032,5.702,0.0
1846,5033,5033,3.651,0.0
1847,5034,5034,4.045,0.0
1848,5035,5035,3.0222,0.0
1849,5037,5037,4.3684,0.0
